C.D.S.  -  SIMBAD4 rel 1.7  -  2020.08.18CEST10:10:23

dec >= 40 & Bmag <= 7.5
-----------------------

Number of objects : 2740

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
1   |HD 203856                          |*  |21 23 35.5297106889 +40 01 07.021382015|     ~| 7.33 | 7.21 |     ~|     ~|A0V                  |  77 |   0
2   |* 74 Cyg                           |*  |21 36 56.9705050843 +40 24 48.581844298|     ~| 5.220| 5.035|     ~|     ~|A3Vn                 |  75 |   0
3   |HD 206749                          |V* |21 43 06.4707261797 +41 09 17.898182462|     ~| 7.106| 5.505|     ~|     ~|M2IIIbCa1            |  35 |   0
4   |HD 207673                          |*  |21 49 40.0940878996 +41 08 55.627207171| 6.97 | 6.90 | 6.48 |     ~|     ~|A2Ib                 |  72 |   0
5   |* 77 Cyg                           |SB*|21 42 22.9588733 +41 04 37.273655      |     ~| 5.777| 5.726|     ~|     ~|A0V+A0V              | 112 |   0
6   |* 76 Cyg                           |PM*|21 41 34.2553499101 +40 48 18.786186872|     ~| 6.132| 6.075|     ~|     ~|A2V                  |  43 |   0
7   |HD 208878                          |*  |21 58 11.1509247071 +43 14 19.629363208|     ~| 7.367| 7.422|     ~|     ~|B9                   |  12 |   0
8   |HD 211211                          |PM*|22 14 44.3627213601 +42 57 14.027775457| 5.680| 5.720| 5.720|     ~|     ~|A2Vnn                |  49 |   0
9   |HD 209469                          |*  |22 02 44.3540631313 +42 48 52.250619929|     ~| 7.157| 7.207|     ~|     ~|B9V                  |  20 |   0
10  |* 6 Lac                            |SB*|22 30 29.2600453 +43 07 24.156435      | 3.68 | 4.400| 4.511|     ~|     ~|B2IV                 | 148 |   0
11  |HD 214946                          |*  |22 41 09.6905283730 +45 00 31.285728434|     ~| 7.49 | 7.16 |     ~|     ~|A5                   |  15 |   0
12  |HD 215566                          |V* |22 45 24.4813671029 +44 45 08.757591490|     ~| 6.96 | 6.99 |     ~|     ~|B9                   |  13 |   0
13  |HD 215664                          |dS*|22 46 10.2217937768 +44 32 45.794255605| 6.250| 6.180| 5.840|     ~|     ~|F0III-IV             |  49 |   0
14  |HD 214558                          |** |22 38 17.3936274342 +45 10 58.572991766| 7.570| 7.130| 6.370|     ~|     ~|G6III+kA5.5:hA8.5:mF0|  35 |   0
15  |HD 214588                          |*  |22 38 33.7411250719 +44 40 08.492563132|     ~| 7.20 | 7.16 |     ~|     ~|A0                   |   2 |   0
