C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1 |V* V377 Cep                        |dS*|23 24 20.71514 +86 25 04.0443          |     ~| 6.89 | 6.62 |     ~|     ~|F0IV           |  25|   1
2 |HD 221488                          |PM*|23 27 43.5941302222 +86 33 31.866171777|     ~| 7.67 | 7.20 |     ~|     ~|F5             |  16|   0
3 |HD 224687                          |*  |23 59 30.7341527695 +86 42 23.050914425|     ~| 6.80 | 6.74 |     ~|     ~|A0             |  13|   0
4 |HD 212710                          |PM*|22 13 10.4452006189 +86 06 28.778095630|     ~| 5.233| 5.258|     ~|     ~|B9.5Vn         |  57|   0
5 |HD 212774                          |*  |22 13 11.0373229288 +86 13 16.809077663|     ~| 7.78 | 6.58 |     ~|     ~|K0             |   9|   0
6 |V* V378 Cep                        |El*|23 31 33.8652216084 +86 10 41.011330863|     ~| 7.26 | 7.09 |     ~|     ~|A5             |  18|   0
7 |* 2 UMi                            |PM*|01 08 44.8800522 +86 15 25.523975      |     ~| 5.459| 4.225|     ~|     ~|K2III          |  81|   0
8 |HD 174878                          |V* |18 15 28.6493393792 +86 39 27.887337238|     ~| 8.111| 6.536|     ~|     ~|M2III          |  16|   0
9 |HD 221525                          |PM*|23 27 00.9133817219 +87 18 27.030422836|     ~| 5.790| 5.560|     ~|     ~|A7IV           |  46|   0
10|HD 213126                          |*  |22 03 13.6522522658 +88 04 23.020182755|     ~| 7.55 | 7.45 |     ~|     ~|A2             |   8|   0
11|HD 203836                          |*  |20 57 22.3397609433 +87 01 57.595132296| 7.620| 7.520| 7.410|     ~|     ~|A3             |  13|   0
12|HD 6319                            |PM*|01 16 13.2055903375 +87 08 43.784645231|     ~| 7.301| 6.188|     ~|     ~|K2III:         |  22|   0
13|HD 5914                            |PM*|01 33 50.6910391944 +89 00 56.301403593| 6.650| 6.560| 6.470|     ~|     ~|A3V            |  30|   0
14|* alf UMi                          |cC*|02 31 49.09456 +89 15 50.7923          | 3.00 | 2.62 | 2.02 | 1.53 | 1.22 |F8Ib           | 610|   2
15|HD 22701                           |PM*|04 10 01.6311986916 +86 37 34.102860939| 6.220| 6.220|     ~| 5.6  |     ~|F5IV           |  36|   0
16|* del UMi                          |PM*|17 32 12.9967087 +86 35 11.258377      |     ~| 4.367| 4.336|     ~|     ~|A1Van          |  96|   0
17|* 24 UMi                           |PM*|17 30 47.5850953627 +86 58 04.964051992|     ~| 5.981| 5.756|     ~|     ~|kA2hA9mF0      |  47|   0
18|* lam UMi                          |LP*|17 16 56.4107068491 +89 02 15.734282923| 9.74 | 7.95 | 6.38 |     ~|     ~|M1III          |  47|   0
19|V* UY UMi                          |gD*|12 15 20.2704171661 +87 42 00.427589080|     ~| 6.590| 6.259|     ~|     ~|F1IV           |  48|   0
20|HD 114282                          |*  |12 53 56.0887926484 +87 38 53.944435832|10.500| 8.910| 7.470|     ~|     ~|K2             |  17|   0
21|HD 135294                          |*  |14 40 18.3209264136 +87 12 53.171015592|10.040| 8.370| 6.910|     ~|     ~|K0             |  12|   0
22|HD 66368                           |** |09 21 48.55505 +88 34 13.2365          |     ~| 7.265| 7.130|     ~|     ~|A0             |  30|   1
23|HD 96870                           |*  |11 21 47.8279843177 +87 38 18.467013086|     ~| 7.48 | 7.48 |     ~|     ~|B8             |  17|   0
24|V* OV Cep                          |LP*|07 40 30.4985248892 +87 01 12.383485125| 8.67 | 6.70 | 5.07 |     ~|     ~|M2III          |  60|   0
25|HD 42855                           |PM*|06 51 47.2866520811 +86 41 03.624955885|     ~| 7.772| 6.591|     ~|     ~|K3III          |  21|   0
26|HD 107113                          |PM*|12 16 51.3385999930 +86 26 08.951212292|     ~| 6.76 |     ~| 6.1  |     ~|F4V            |  76|   0
27|TYC 4643-155-1                     |*  |09 21 48.596 +88 34 13.21              |     ~| 7.28 | 7.12 |     ~|     ~|~              |   0|   0
================================================================================





C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST06:09:09

dec >= 85 & (Umag <= 10 | Bmag <= 10 | Vmag <= 10)
--------------------------------------------------

Number of objects : 532

 # |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
---|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1  |BD+85 361                          |*  |21 10 08.1729974148 +85 40 10.267873089|     ~| 9.66 | 9.41 |     ~|     ~|A2             |   1|   0
2  |BD+84 479                          |*  |20 55 33.8750370681 +85 17 06.069980491|     ~|10.39 | 9.80 |     ~|     ~|F8             |   0|   0
3  |BD+84 489                          |*  |21 18 00.9504153988 +85 36 54.022406200|     ~|11.25 | 9.99 |     ~|     ~|K2             |   0|   0
4  |BD+84 493                          |*  |21 29 04.8876375036 +85 10 03.425738690|     ~|11.05 | 9.82 |     ~|     ~|K0             |   0|   0
